refDes,status,effective_date,reduced_weekly
CE02SHBP-LJ01D-06-CTDBPN106,failed,2025-12-01,
CE02SHBP-LJ01D-08-OPTAAD106,failed,2025-11-12,
CE02SHBP-MJ01C-08-CAMDSB107,failed,2025-10-25,
CE04OSBP-LJ01C-11-HYDBBA105,failed,2026-02-19,
CE04OSPS-PC01B-4B-PHSENA106,failed,2025-10-20,
RS01SLBS-LJ01A-10-ADCPTE101,failed,2024-12-26,
RS03AXBS-LJ03A-05-HPIESA301,failed,2025-11-04,
RS03CCAL-MJ03F-05-BOTPTA301,reduced,2024-09-02,112 MiB
RS03INT2-MJ03D-06-BOTPTA303,reduced,2024-09-02,112 MiB
RS03ASHS-MJ03B-09-BOTPTA304,reduced,2024-06-24,112 MiB
RS03ASHS-PN03B-06-CAMHDA301,reduced,2024-09-01,831.3 GiB
