refDes,first_day,last_day,weeks_with_data,original_p95_weekly_bytes,original_p95_weekly_human
CE02SHBP-LJ01D-05-ADCPTB104,20240601,20260625,107,675282944,644 MiB
CE02SHBP-LJ01D-06-CTDBPN106,20240601,20260424,79,32296138,30.8 MiB
CE02SHBP-LJ01D-07-VEL3DC108,20240601,20260625,107,220200960,210 MiB
CE02SHBP-LJ01D-08-OPTAAD106,20240601,20251111,75,95420416,91 MiB
CE02SHBP-LJ01D-09-PCO2WB103,20240601,20260625,107,69699,68.07 KiB
CE02SHBP-LJ01D-10-PHSENH110,20250828,20260625,44,143360,140 KiB
CE02SHBP-LJ01D-11-HYDBBA106,20240601,20260625,108,72336326430,67.37 GiB
CE02SHBP-MJ01C-08-CAMDSB107,20240601,20251024,74,26755718876,24.92 GiB
CE04OSBP-LJ01C-05-ADCPSI103,20240601,20260625,109,660602880,630 MiB
CE04OSBP-LJ01C-06-CTDBPO108,20240601,20260625,109,32296138,30.8 MiB
CE04OSBP-LJ01C-07-VEL3DC107,20240601,20260625,109,220200960,210 MiB
CE04OSBP-LJ01C-08-OPTAAC104,20240601,20260625,109,95420416,91 MiB
CE04OSBP-LJ01C-09-PCO2WB104,20240601,20260625,109,70039,68.4 KiB
CE04OSBP-LJ01C-10-PHSEND107,20240601,20260625,109,186368,182 KiB
CE04OSBP-LJ01C-11-HYDBBA105,20240601,20260218,80,78996989542,73.57 GiB
CE04OSBP-LV01C-06-CAMDSB106,20240601,20260625,109,23218198833,21.62 GiB
CE04OSPS-PC01B-4A-CTDPFA109,20240601,20260625,109,32296138,30.8 MiB
CE04OSPS-PC01B-4B-PHSENA106,20240601,20251019,73,186368,182 KiB
CE04OSPS-PC01B-4C-PHSENH109,20250805,20260625,47,144384,141 KiB
CE04OSPS-PC01B-4D-PCO2WA105,20240601,20260625,66,70039,68.4 KiB
CE04OSPS-SF01B-2A-CTDPFA107,20240601,20260625,109,26424111,25.2 MiB
CE04OSPS-SF01B-2B-PHSENA108,20240601,20260624,86,236544,231 KiB
CE04OSPS-SF01B-3A-FLORTD104,20240601,20260625,109,38168165,36.4 MiB
CE04OSPS-SF01B-3B-OPTAAD105,20240601,20260624,108,176160768,168 MiB
CE04OSPS-SF01B-3C-PARADA102,20240723,20260625,101,73400320,70 MiB
CE04OSPS-SF01B-3D-SPKIRA102,20240601,20260625,109,183500800,175 MiB
CE04OSPS-SF01B-4A-NUTNRA102,20240601,20260624,108,161040302,153.58 MiB
CE04OSPS-SF01B-4B-VELPTD106,20240601,20260625,109,35232148,33.6 MiB
CE04OSPS-SF01B-4F-PCO2WA102,20240601,20260624,82,29409460,28.05 MiB
RS01SBPS-PC01A-05-ADCPTD102,20240601,20260625,109,660602880,630 MiB
RS01SBPS-PC01A-06-VADCPB101,20240812,20260625,98,2187329536,2.04 GiB
RS01SBPS-PC01A-07-CAMDSC102,20240601,20260625,100,38367018264,35.73 GiB
RS01SBPS-PC01A-08-HYDBBA103,20240601,20260625,109,88769046774,82.67 GiB
RS01SBPS-PC01A-4A-CTDPFA103,20240601,20260625,109,32296138,30.8 MiB
RS01SBPS-PC01A-4B-PHSENA102,20240601,20260625,109,186368,182 KiB
RS01SBPS-PC01A-4C-FLORDD103,20240601,20260625,109,38168165,36.4 MiB
RS01SBPS-SF01A-2A-CTDPFA102,20240601,20260625,109,26424111,25.2 MiB
RS01SBPS-SF01A-2D-PHSENA101,20240601,20260624,81,12030156,11.47 MiB
RS01SBPS-SF01A-3A-FLORTD101,20240601,20260625,89,38168165,36.4 MiB
RS01SBPS-SF01A-3B-OPTAAD101,20240601,20260624,108,186646528,178 MiB
RS01SBPS-SF01A-3C-PARADA101,20240601,20260625,109,300941312,287 MiB
RS01SBPS-SF01A-3D-SPKIRA101,20240601,20260625,109,183500800,175 MiB
RS01SBPS-SF01A-4A-NUTNRA101,20240613,20260624,104,262678773,250.51 MiB
RS01SBPS-SF01A-4B-VELPTD102,20240601,20260625,109,35232148,33.6 MiB
RS01SBPS-SF01A-4F-PCO2WA101,20240601,20260624,107,69229,67.61 KiB
RS01SLBS-LJ01A-05-HPIESA101,20240601,20260625,109,44459621,42.4 MiB
RS01SLBS-LJ01A-09-HYDBBA102,20240601,20260625,109,63856498770,59.47 GiB
RS01SLBS-LJ01A-10-ADCPTE101,20240601,20241225,31,660602880,630 MiB
RS01SLBS-LJ01A-11-OPTAAC103,20240601,20260625,109,95420416,91 MiB
RS01SLBS-LJ01A-12-CTDPFB101,20240601,20260625,109,32296138,30.8 MiB
RS01SLBS-MJ01A-05-HYDLFA101,,,0,0,0 B
RS01SLBS-MJ01A-05-OBSBBA102,,,0,0,0 B
RS01SLBS-MJ01A-06-PRESTA101,20240810,20260625,99,139460608,133 MiB
RS01SLBS-MJ01A-12-VEL3DB101,20240810,20260625,99,67528293,64.4 MiB
RS01SUM1-LJ01B-05-HYDLFA104,,,0,0,0 B
RS01SUM1-LJ01B-05-OBSBBA101,,,0,0,0 B
RS01SUM1-LJ01B-06-OBSSPA103,,,0,0,0 B
