refDes,week,delivered_human,c1_expected_human,pct_technical,c3_expected_human,pct_retention,pct_science
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-03,629 MiB,630 MiB,99.8,630 MiB,99.8,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-10,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-17,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-24,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-22,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-29,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-05,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-12,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-19,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-26,629 MiB,630 MiB,99.8,630 MiB,99.8,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-30,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-04,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-11,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-18,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-25,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-10-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-10-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-10-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-10-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-11-03,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-11-10,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-11-17,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-11-24,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-12-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-12-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-12-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-12-22,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2025-12-29,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-01-05,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-01-12,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-01-19,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-01-26,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-02-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-02-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-02-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-02-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-03-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-03-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-03-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-03-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-03-30,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-04-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-04-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-04-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-04-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-05-04,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-05-11,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-05-18,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-05-25,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-06,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-13,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-20,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-27,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-03,643 MiB,644 MiB,99.8,644 MiB,99.8,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-10,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-17,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-24,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-01,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-08,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-15,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-22,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-29,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-05,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-12,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-19,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-26,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-02,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-09,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-16,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-23,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-02,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-09,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-16,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-23,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-30,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-06,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-13,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-20,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-27,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-04,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-11,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-18,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-25,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-01,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-10-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-10-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-10-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-10-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-11-03,629 MiB,630 MiB,99.8,630 MiB,99.8,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-11-10,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-11-17,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-11-24,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-12-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-12-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-12-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-12-22,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2025-12-29,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-01-05,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-01-12,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-01-19,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-01-26,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-02-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-02-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-02-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-02-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-03-02,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-03-09,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-03-16,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-03-23,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-03-30,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-04-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-04-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-04-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-04-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-05-04,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-05-11,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-05-18,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-05-25,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-06-01,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
RS01SBPS-PC01A-05-ADCPTD102,2026-06-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0
