refDes,2026-03-02,2026-03-09,2026-03-16,2026-03-23,2026-03-30,2026-04-06,2026-04-13,2026-04-20,2026-04-27,2026-05-04,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22
CE04OSBP-LJ01C-05-ADCPSI103,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM2-MJ01B-12-ADCPSK101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CE02SHBP-LJ01D-05-ADCPTB104,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-05-ADCPTD102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-05-ADCPTD302,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-10-ADCPTE101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS03AXBS-LJ03A-10-ADCPTE303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-05-BOTPTA301,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-06-BOTPTA302,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-06-BOTPTA303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-09-BOTPTA304,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM2-MJ01B-05-CAMDSB103,52,49,53,52,52,52,52,52,52,52,52,52,52,53,53,54,54
CE04OSBP-LV01C-06-CAMDSB106,55,55,55,55,55,56,55,55,55,55,54,55,54,54,54,54,54
CE02SHBP-MJ01C-08-CAMDSB107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS03INT1-MJ03C-05-CAMDSB303,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS01SBPS-PC01A-07-CAMDSC102,100+,100+,100+,100+,100+,100+,73,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS03AXPS-PC03A-07-CAMDSC302,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS03ASHS-PN03B-06-CAMHDA301,17,17,17,17,17,17,15,13,17,17,17,17,17,17,17,17,17
CE02SHBP-LJ01D-06-CTDBPN106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CE04OSBP-LJ01C-06-CTDBPO108,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-2A-CTDPFA102,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-4A-CTDPFA103,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-SF01B-2A-CTDPFA107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-PC01B-4A-CTDPFA109,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-SF03A-2A-CTDPFA302,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-4A-CTDPFA303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-12-CTDPFB101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-LJ03A-12-CTDPFB301,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-10-CTDPFB304,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
RS03CCAL-MJ03F-12-CTDPFB305,97,97,97,97,97,97,97,98,99,99,98,97,97,97,97,97,97
RS03ECAL-MJ03E-12-CTDPFB306,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-11-CTDPFB307,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
RS03INT1-MJ03C-07-D1000A301,100,100,100,100,100,100,100,100+,100,100+,100,100,100,100,100,100,100
RS01SBPS-PC01A-4C-FLORDD103,99,99,100,100,100,100,99,100,100,99,100,100,99,100,99,100,100
RS03AXPS-PC03A-4C-FLORDD303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-3A-FLORTD101,100,98,100,100,100,100,99,100,100,99,99,98,98,98,98,99,98
CE04OSPS-SF01B-3A-FLORTD104,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100
RS03AXPS-SF03A-3A-FLORTD301,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100+,100
RS01SLBS-LJ01A-05-HPIESA101,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
RS03AXBS-LJ03A-05-HPIESA301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS01SLBS-LJ01A-09-HYDBBA102,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-08-HYDBBA103,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-11-HYDBBA105,,,,,,,,,,,,,,,,,
CE02SHBP-LJ01D-11-HYDBBA106,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-09-HYDBBA302,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-08-HYDBBA303,,,,,,,,,,,,,,,,,
RS01SLBS-MJ01A-05-HYDLFA101,,,,,,,,,,,,,,,,,
RS01SUM1-LJ01B-05-HYDLFA104,,,,,,,,,,,,,,,,,
RS03AXBS-MJ03A-05-HYDLFA301,,,,,,,,,,,,,,,,,
RS03ECAL-MJ03E-09-HYDLFA304,,,,,,,,,,,,,,,,,
RS03CCAL-MJ03F-06-HYDLFA305,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4A-NUTNRA101,100+,100+,57,54,52,47,47,48,47,47,47,47,46,47,47,49,48
CE04OSPS-SF01B-4A-NUTNRA102,56,54,54,52,52,50,49,48,48,47,46,46,45,45,44,43,43
RS03AXPS-SF03A-4A-NUTNRA301,94,90,88,86,100,100+,97,93,89,84,80,77,73,73,71,68,67
RS01SUM1-LJ01B-05-OBSBBA101,,,,,,,,,,,,,,,,,
