refDes,2025-10-13,2025-10-20,2025-10-27,2025-11-03,2025-11-10,2025-11-17,2025-11-24,2025-12-01,2025-12-08,2025-12-15,2025-12-22,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23,2026-03-02,2026-03-09,2026-03-16,2026-03-23,2026-03-30,2026-04-06,2026-04-13,2026-04-20,2026-04-27,2026-05-04,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22,2026-06-29
CE04OSBP-LJ01C-05-ADCPSI103,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM2-MJ01B-12-ADCPSK101,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CE02SHBP-LJ01D-05-ADCPTB104,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-05-ADCPTD102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
RS03AXPS-PC03A-05-ADCPTD302,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
RS01SLBS-LJ01A-10-ADCPTE101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-10-ADCPTE303,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-05-BOTPTA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03ECAL-MJ03E-06-BOTPTA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT2-MJ03D-06-BOTPTA303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS-MJ03B-09-BOTPTA304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SUM2-MJ01B-05-CAMDSB103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LV01C-06-CAMDSB106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHBP-MJ01C-08-CAMDSB107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03INT1-MJ03C-05-CAMDSB303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-07-CAMDSC102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-07-CAMDSC302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS-PN03B-06-CAMHDA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
