refDes,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22,2026-06-29,2026-07-06,2026-07-13,2026-07-20,2026-07-27,2026-08-03
CE04OSBP-LJ01C-05-ADCPSI103,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM2-MJ01B-12-ADCPSK101,100,100,100,100,100,100,100,100,100,100,100,100,100
CE02SHBP-LJ01D-05-ADCPTB104,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-05-ADCPTD102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-05-ADCPTD302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-10-ADCPTE101,,,,,,,,,,,,,
RS03AXBS-LJ03A-10-ADCPTE303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-05-BOTPTA301,,,,,,,,,,,,,
RS03ECAL-MJ03E-06-BOTPTA302,,,,,,,,,,,,,
RS03INT2-MJ03D-06-BOTPTA303,,,,,,,,,,,,,
RS03ASHS-MJ03B-09-BOTPTA304,,,,,,,,,,,,,
RS01SUM2-MJ01B-05-CAMDSB103,,,,,,,,,,,,,
CE04OSBP-LV01C-06-CAMDSB106,,,,,,,,,,,,,
CE02SHBP-MJ01C-08-CAMDSB107,,,,,,,,,,,,,
RS03INT1-MJ03C-05-CAMDSB303,,,,,,,,,,,,,
RS01SBPS-PC01A-07-CAMDSC102,,,,,,,,,,,,,
RS03AXPS-PC03A-07-CAMDSC302,,,,,,,,,,,,,
RS03ASHS-PN03B-06-CAMHDA301,,,,,,,,,,,,,
CE02SHBP-LJ01D-06-CTDBPN106,,,,,,,,,,,,,
CE04OSBP-LJ01C-06-CTDBPO108,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-2A-CTDPFA102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-4A-CTDPFA103,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-SF01B-2A-CTDPFA107,100,100,100,100,100,100,100,100,100,98,100,100,100
CE04OSPS-PC01B-4A-CTDPFA109,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-SF03A-2A-CTDPFA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-4A-CTDPFA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-12-CTDPFB101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-LJ03A-12-CTDPFB301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-10-CTDPFB304,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-12-CTDPFB305,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-12-CTDPFB306,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-11-CTDPFB307,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT1-MJ03C-07-D1000A301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-4C-FLORDD103,100,100,100,99,100,98,100,100,100,100,100,100,100
RS03AXPS-PC03A-4C-FLORDD303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-3A-FLORTD101,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-SF01B-3A-FLORTD104,73,69,65,67,70,70,68,71,68,70,72,73,72
RS03AXPS-SF03A-3A-FLORTD301,91,92,92,90,92,93,91,83,82,81,78,82,81
RS01SLBS-LJ01A-05-HPIESA101,,,,,,,,,,,,,
RS03AXBS-LJ03A-05-HPIESA301,,,,,,,,,,,,,
RS01SLBS-LJ01A-09-HYDBBA102,,,,,,,,,,,,,
RS01SBPS-PC01A-08-HYDBBA103,,,,,,,,,,,,,
CE04OSBP-LJ01C-11-HYDBBA105,,,,,,,,,,,,,
CE02SHBP-LJ01D-11-HYDBBA106,,,,,,,,,,,,,
RS03AXBS-LJ03A-09-HYDBBA302,,,,,,,,,,,,,
RS03AXPS-PC03A-08-HYDBBA303,,,,,,,,,,,,,
RS01SLBS-MJ01A-05-HYDLFA101,,,,,,,,,,,,,
RS01SUM1-LJ01B-05-HYDLFA104,,,,,,,,,,,,,
RS03AXBS-MJ03A-05-HYDLFA301,,,,,,,,,,,,,
RS03ECAL-MJ03E-09-HYDLFA304,,,,,,,,,,,,,
RS03CCAL-MJ03F-06-HYDLFA305,,,,,,,,,,,,,
RS01SBPS-SF01A-4A-NUTNRA101,95,95,94,92,92,94,99,100,100,100,100,100,99
CE04OSPS-SF01B-4A-NUTNRA102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-SF03A-4A-NUTNRA301,98,98,98,100,100,100,99,99,96,87,83,91,93
RS01SUM1-LJ01B-05-OBSBBA101,,,,,,,,,,,,,
RS01SLBS-MJ01A-05-OBSBBA102,,,,,,,,,,,,,
RS03CCAL-MJ03F-06-OBSBBA301,,,,,,,,,,,,,
RS03ECAL-MJ03E-09-OBSBBA302,,,,,,,,,,,,,
RS03AXBS-MJ03A-05-OBSBBA303,,,,,,,,,,,,,
RS01SUM1-LJ01B-08-OBSSPA101,,,,,,,,,,,,,
RS01SUM1-LJ01B-07-OBSSPA102,,,,,,,,,,,,,
RS01SUM1-LJ01B-06-OBSSPA103,,,,,,,,,,,,,
RS03ASHS-MJ03B-06-OBSSPA301,,,,,,,,,,,,,
RS03ASHS-MJ03B-05-OBSSPA302,,,,,,,,,,,,,
RS03ECAL-MJ03E-05-OBSSPA303,,,,,,,,,,,,,
RS03ECAL-MJ03E-08-OBSSPA304,,,,,,,,,,,,,
RS03INT2-MJ03D-05-OBSSPA305,,,,,,,,,,,,,
RS01SLBS-LJ01A-11-OPTAAC103,,,,,,,,,,,,,
CE04OSBP-LJ01C-08-OPTAAC104,,,,,,,,,,,,,
RS03AXBS-LJ03A-11-OPTAAC303,,,,,,,,,,,,,
RS01SBPS-SF01A-3B-OPTAAD101,,,,,,,,,,,,,
CE04OSPS-SF01B-3B-OPTAAD105,,,,,,,,,,,,,
CE02SHBP-LJ01D-08-OPTAAD106,,,,,,,,,,,,,
RS03AXPS-SF03A-3B-OPTAAD301,,,,,,,,,,,,,
RS01SBPS-SF01A-3C-PARADA101,,,,,,,,,,,,,
CE04OSPS-SF01B-3C-PARADA102,,,,,,,,,,,,,
RS03AXPS-SF03A-3C-PARADA301,,,,,,,,,,,,,
RS01SBPS-SF01A-4F-PCO2WA101,56,36,13,8,57,64,42,72,59,47,60,66,79
CE04OSPS-SF01B-4F-PCO2WA102,100,100,87,42,37,16,81,20,17,65,19,2,32
CE04OSPS-PC01B-4D-PCO2WA105,100,100,100,100,100,100,100,100,100,100,100,100,100
