refDes,week,delivered_human,c1_expected_human,pct_technical,c3_expected_human,pct_retention,pct_science,pct_climatology
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-03,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-10,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-17,612 MiB,630 MiB,97.1,630 MiB,97.1,,
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-24,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-31,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-08,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-15,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-22,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-06-29,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-07-06,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-07-13,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-07-20,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-07-27,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-08-03,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-08-10,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-08-17,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-08-24,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
RS01SUM2-MJ01B-12-ADCPSK101,2026-08-31,630 MiB,630 MiB,100.0,630 MiB,100.0,100.0,
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0,
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0,
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-22,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0,
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-29,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0,
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-06,644 MiB,644 MiB,100.0,644 MiB,100.0,100.0,
