refDes,2026-06-08,2026-06-15,2026-06-22,2026-06-29,2026-07-06,2026-07-13,2026-07-20,2026-07-27,2026-08-03,2026-08-10,2026-08-17,2026-08-24,2026-08-31
CE04OSBP-LJ01C-05-ADCPSI103,100,100,100,100,100,100,100,100,100,100,97,100,100
RS01SUM2-MJ01B-12-ADCPSK101,100,100,100,100,100,100,100,100,100,100,100,100,100
CE02SHBP-LJ01D-05-ADCPTB104,100,100,100,100,100,100,100,100,100,97,100,100,100
RS01SBPS-PC01A-05-ADCPTD102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-05-ADCPTD302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-10-ADCPTE101,0,0,0,0,0,0,0,0,0,0,72,100,100
RS03AXBS-LJ03A-10-ADCPTE303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-05-BOTPTA301,100,100,100,100,100,100,100,100,100,100,92,100,100
RS03ECAL-MJ03E-06-BOTPTA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-06-BOTPTA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-09-BOTPTA304,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM2-MJ01B-05-CAMDSB103,53,53,54,54,54,54,54,54,55,54,47,50,50
CE04OSBP-LV01C-06-CAMDSB106,54,54,54,54,54,54,54,54,54,54,50,39,48
CE02SHBP-MJ01C-08-CAMDSB107,0,0,0,0,0,0,0,0,0,0,100+,100+,100+
RS03INT1-MJ03C-05-CAMDSB303,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS01SBPS-PC01A-07-CAMDSC102,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS03AXPS-PC03A-07-CAMDSC302,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS03ASHS-PN03B-06-CAMHDA301,17,17,17,17,17,17,17,17,17,17,15,45,18
CE02SHBP-LJ01D-06-CTDBPN106,0,0,0,0,0,0,0,0,0,0,100,100,100
CE04OSBP-LJ01C-06-CTDBPO108,100,100,100,100,100,100,100,100,100,86,97,100,100
RS01SBPS-SF01A-2A-CTDPFA102,100,100,100,100,100,100,85,90,100,100,98,0,0
RS01SBPS-PC01A-4A-CTDPFA103,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-SF01B-2A-CTDPFA107,100,100,100,100,100,100,100,100,100,10,0,0,0
CE04OSPS-PC01B-4A-CTDPFA109,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-SF03A-2A-CTDPFA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-4A-CTDPFA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-12-CTDPFB101,100,100,100,100,100,100,100,100,100,100,95,100,100
RS03AXBS-LJ03A-12-CTDPFB301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-10-CTDPFB304,97,97,97,97,97,97,97,97,97,97,94,100,100
RS03CCAL-MJ03F-12-CTDPFB305,97,97,97,97,97,97,98,99,99,100,90,100,100
RS03ECAL-MJ03E-12-CTDPFB306,100,100,100,100,100,100,100,100,100,100,96,100,100
RS03INT2-MJ03D-11-CTDPFB307,97,97,97,97,97,97,97,97,97,97,88,100,100
RS03INT1-MJ03C-07-D1000A301,100,100,100,100,100,100,100,100,100,100,97,100,100
RS01SBPS-PC01A-4C-FLORDD103,100,99,100,100,100,100,99,100,100,100+,100,100,100
RS03AXPS-PC03A-4C-FLORDD303,100,100,100,100,100,100,100,100,99,99,100,100,100
RS01SBPS-SF01A-3A-FLORTD101,98,98,99,98,98,100,84,90,100,100,98,0,0
CE04OSPS-SF01B-3A-FLORTD104,100,100,100,100,100,100,100,100,100,10,0,0,0
RS03AXPS-SF03A-3A-FLORTD301,100,100,100+,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-05-HPIESA101,99,99,99,99,99,99,99,99,99,99,94,98,98
RS03AXBS-LJ03A-05-HPIESA301,0,0,0,0,0,0,0,0,0,0,0,0,0
RS01SLBS-LJ01A-09-HYDBBA102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-PC01A-08-HYDBBA103,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSBP-LJ01C-11-HYDBBA105,0,0,0,0,0,0,0,0,0,0,76,100,100
CE02SHBP-LJ01D-11-HYDBBA106,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-LJ03A-09-HYDBBA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXPS-PC03A-08-HYDBBA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-MJ01A-05-HYDLFA101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM1-LJ01B-05-HYDLFA104,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-MJ03A-05-HYDLFA301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-09-HYDLFA304,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-06-HYDLFA305,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-4A-NUTNRA101,98,97,100+,99,100,90,86,100+,98,100+,95,0,0
CE04OSPS-SF01B-4A-NUTNRA102,90,88,87,86,86,84,84,82,83,6,0,0,0
RS03AXPS-SF03A-4A-NUTNRA301,74,71,69,68,67,65,64,62,61,60,44,17,22
RS01SUM1-LJ01B-05-OBSBBA101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-MJ01A-05-OBSBBA102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03CCAL-MJ03F-06-OBSBBA301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-09-OBSBBA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-MJ03A-05-OBSBBA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM1-LJ01B-08-OBSSPA101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM1-LJ01B-07-OBSSPA102,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM1-LJ01B-06-OBSSPA103,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-06-OBSSPA301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-05-OBSSPA302,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-05-OBSSPA303,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ECAL-MJ03E-08-OBSSPA304,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-05-OBSSPA305,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SLBS-LJ01A-11-OPTAAC103,100,100,100,100,100,100,100,100,100,100,51,13,40
CE04OSBP-LJ01C-08-OPTAAC104,100,100,100,100,100,100,100,100,100,100,93,92,92
RS03AXBS-LJ03A-11-OPTAAC303,93,93,93,93,93,93,93,93,93,93,93,93,93
RS01SBPS-SF01A-3B-OPTAAD101,98,98,98,98,98,98,84,93,99,100,93,0,0
CE04OSPS-SF01B-3B-OPTAAD105,100,100,100,100,100,100,100,100,100,7,0,0,0
CE02SHBP-LJ01D-08-OPTAAD106,0,0,0,0,0,0,0,0,0,2,100,100,100
RS03AXPS-SF03A-3B-OPTAAD301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SBPS-SF01A-3C-PARADA101,100,100,100,100,100,100,85,90,100,100,98,0,0
CE04OSPS-SF01B-3C-PARADA102,100,100,100,100,100,100,100,100,100,10,0,0,0
RS03AXPS-SF03A-3C-PARADA301,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+
RS01SBPS-SF01A-4F-PCO2WA101,100,100,100+,100+,100+,94,85,89,100+,100+,98,0,0
CE04OSPS-SF01B-4F-PCO2WA102,97,97,97,98,98,97,97,98,97,8,0,0,0
CE04OSPS-PC01B-4D-PCO2WA105,100,100+,100,100,100+,100,100,100+,100+,100+,100,100,100
RS03AXPS-SF03A-4F-PCO2WA301,98,98,97,96,99,96,100+,95,98,96,93,97,98
CE02SHBP-LJ01D-09-PCO2WB103,100,100,100,100,100+,100+,100+,100+,100+,100+,100+,100,100+
CE04OSBP-LJ01C-09-PCO2WB104,99,100,100,100,100+,100+,99,100,100,100,100+,100,100
RS01SBPS-SF01A-2D-PHSENA101,100+,99,100+,100+,100,94,84,87,100,100+,98,0,0
RS01SBPS-PC01A-4B-PHSENA102,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSPS-PC01B-4B-PHSENA106,0,0,0,0,0,0,0,0,0,0,0,0,0
CE04OSPS-SF01B-2B-PHSENA108,97,96,96,96,96,97,96,96,97,8,0,0,0
RS03AXPS-SF03A-2D-PHSENA301,98,98,97,95,98,95,100,95,98,95,93,97,98
RS03AXPS-PC03A-4B-PHSENA302,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSBP-LJ01C-10-PHSEND107,100,100,100,100,100,100,100,100,100,100,100+,100,100
CE04OSPS-PC01B-4C-PHSENH109,100,100,100,100+,100,100,100,100,100,100+,100,100+,100
CE02SHBP-LJ01D-10-PHSENH110,100,100,100,100,100,100,100,100,100,99,100,100,100
RS01SLBS-MJ01A-06-PRESTA101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-MJ03A-06-PRESTA301,83,83,83,83,83,83,83,83,83,83,83,83,83
RS01SUM1-LJ01B-09-PRESTB102,79,79,79,79,79,79,79,79,79,79,79,79,79
RS01SBPS-SF01A-3D-SPKIRA101,100,100,100,100,100,100,85,90,100,100,98,0,0
CE04OSPS-SF01B-3D-SPKIRA102,100,100,100,100,100,100,100,100,100,10,0,0,0
RS03AXPS-SF03A-3D-SPKIRA301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03ASHS-MJ03B-07-TMPSFA301,99,99,99,99,99,99,99,99,99,99,99,99,99
RS03INT1-MJ03C-10-TRHPHA301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT1-MJ03C-09-TRHPHA302,100+,100+,100,100,100+,100,100+,100+,100+,100+,88,78,78
RS01SBPS-PC01A-06-VADCPB101,100,100,100+,100+,100+,100+,100+,100+,100+,100+,100+,100+,100
RS03AXPS-PC03A-06-VADCPB301,100,100,100,100,99,99,99,99,99,99,99,99,99
RS01SLBS-MJ01A-12-VEL3DB101,100,100,100,100,100,100,100,100,100,100,100,100,100
RS01SUM1-LJ01B-12-VEL3DB104,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03AXBS-MJ03A-12-VEL3DB301,100,100,100,100,100,100,100,100,100,100,100,100,100
RS03INT2-MJ03D-12-VEL3DB304,100,100,100,100,100,100,100,100,100,100,100,100,100
CE04OSBP-LJ01C-07-VEL3DC107,100,100,100,100,100,100,100,100,100,100,97,100,100
CE02SHBP-LJ01D-07-VEL3DC108,100,100,100,100,100,100,100,100,100,98,100,100,100
RS01SBPS-SF01A-4B-VELPTD102,100,100,100,100,100,100,85,90,100,100,98,0,0
CE04OSPS-SF01B-4B-VELPTD106,100,100,100,100,100,100,100,100,100,10,0,0,0
RS03AXPS-SF03A-4B-VELPTD302,100,100,100,100,100,100,100,100,100,100,100,100,100
ALL_INSTRUMENTS_MEAN,91,91,91,91,91,91,90,90,91,84,86,78,79
