refDes,week,delivered_bytes,delivered_human
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-22,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-29,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-06,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-13,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-20,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-27,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-03,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-10,657457152,627 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-17,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-24,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-31,675282944,644 MiB
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-08,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-15,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-22,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-29,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-06,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-13,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-20,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-27,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-03,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-10,50176,49 KiB
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-17,32296138,30.8 MiB
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-24,32296138,30.8 MiB
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-31,32296138,30.8 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-08,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-15,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-22,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-29,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-06,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-13,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-20,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-27,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-03,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-10,214958080,205 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-17,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-24,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-31,220200960,210 MiB
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-08,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-15,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-22,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-29,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-06,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-13,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-20,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-27,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-08-03,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-08-10,1677721,1.6 MiB
CE02SHBP-LJ01D-08-OPTAAD106,2026-08-17,95420416,91 MiB
CE02SHBP-LJ01D-08-OPTAAD106,2026-08-24,95420416,91 MiB
CE02SHBP-LJ01D-08-OPTAAD106,2026-08-31,95420416,91 MiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-08,69117,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-15,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-22,69014,67.4 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-29,69219,67.6 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-06,69731,68.1 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-13,69525,67.9 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-20,69628,68 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-27,69628,68 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-03,69525,67.9 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-10,99837,97.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-17,69424,67.8 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-24,69218,67.6 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-31,69524,67.89 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-08,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-15,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-22,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-29,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-06,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-13,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-20,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-27,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-08-03,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-08-10,142336,139 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-08-17,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-08-24,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-08-31,143360,140 KiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-08,56774448662,52.88 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-15,43205944733,40.24 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-22,29923422705,27.87 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-29,44142857999,41.11 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-06,49772567613,46.35 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-13,45817528083,42.67 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-20,51299227086,47.78 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-27,47571746642,44.3 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-08-03,42232067496,39.33 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-08-10,54540107711,50.79 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-08-17,54205180181,50.48 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-08-24,54592059753,50.84 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-08-31,52085181609,48.51 GiB
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-08,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-15,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-22,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-29,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-06,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-13,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-20,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-27,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-08-03,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-08-10,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-08-17,19682820096,18.33 GiB
CE02SHBP-MJ01C-08-CAMDSB107,2026-08-24,20692598784,19.27 GiB
CE02SHBP-MJ01C-08-CAMDSB107,2026-08-31,20821573632,19.39 GiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-06,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-13,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-20,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-27,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-03,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-10,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-17,641728512,612 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-24,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-31,660602880,630 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-08,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-15,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-22,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-29,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-06,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-13,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-20,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-27,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-03,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-10,27787261,26.5 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-17,31457277,30 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-24,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-31,32296138,30.8 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-08,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-15,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-22,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-29,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-06,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-13,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-20,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-27,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-03,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-10,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-17,213909504,204 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-24,220200960,210 MiB
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-31,220200960,210 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-08,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-15,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-22,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-29,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-07-06,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-07-13,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-07-20,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-07-27,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-08-03,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-08-10,95420416,91 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-08-17,89128960,85 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-08-24,88080384,84 MiB
CE04OSBP-LJ01C-08-OPTAAC104,2026-08-31,88080384,84 MiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-08,68810,67.2 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-15,69116,67.5 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-22,69014,67.4 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-29,69218,67.6 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-06,69833,68.2 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-13,69525,67.9 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-20,68912,67.3 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-27,69116,67.5 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-03,69116,67.5 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-10,69218,67.6 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-17,97380,95.1 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-24,69116,67.5 KiB
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-31,69014,67.4 KiB
CE04OSBP-LJ01C-10-PHSEND107,2026-06-08,186368,182 KiB
